"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
2.866432000E0,-8.027905494E-1,8.694552398E-1,-5.291940665E-1
2.876402000E0,-8.526224215E-1,9.151044524E-1,-3.833539832E-1
2.886372000E0,-8.852123165E-1,9.461204231E-1,-2.703425074E-1
2.896343000E0,-6.866329792E-1,9.836928767E-1,-1.633910859E-1
2.906313000E0,-5.168883088E-1,9.744221163E-1,-8.712292850E-2
2.916283000E0,-4.036398746E-1,1.010563172E0,-9.602648377E-2
2.926253000E0,-3.590935931E-1,1.047736845E0,-7.328724682E-2
2.936224000E0,-4.519807068E-1,1.090511566E0,-6.932400405E-2
2.946194000E0,-5.671623766E-1,1.148562139E0,-8.211712718E-2
2.956164000E0,-7.321645166E-1,1.190896565E0,-1.200094235E-1
2.966134000E0,-8.747731362E-1,1.234539598E0,-1.740248322E-1
2.976105000E0,-8.644829138E-1,1.280560693E0,-2.740882337E-1
2.986075000E0,-7.772572204E-1,1.274451522E0,-3.014210433E-1
2.996045000E0,-6.450009499E-1,1.204988939E0,-1.388292718E-1
3.006015000E0,-4.777338910E-1,1.011693438E0,2.960258174E-1
3.015986000E0,-3.344285756E-1,7.264861393E-1,7.221556914E-1
3.025956000E0,-3.902547209E-1,3.234907740E-1,9.395458138E-1
3.035926000E0,-4.765840361E-1,-5.510825336E-2,9.206908822E-1
3.045897000E0,-6.122514260E-1,-3.631360656E-1,7.937624484E-1
3.055867000E0,-6.901322454E-1,-6.326973850E-1,5.704642993E-1
3.065837000E0,-6.655849032E-1,-7.004473186E-1,4.195447397E-1
3.075807000E0,-5.745743072E-1,-7.828807801E-1,2.716294795E-1
3.085778000E0,-4.140156126E-1,-8.813935000E-1,2.799179077E-1
3.095748000E0,-1.019269091E-1,-8.774846363E-1,3.323200697E-1
3.105718000E0,3.760249369E-1,-9.235273665E-1,4.991118962E-1
3.115687875E0,9.857937813E-1,-9.488352853E-1,6.859263432E-1
3.125658875E0,1.577238475E0,-9.985225850E-1,8.058597529E-1
3.135628875E0,1.751178961E0,-9.921017575E-1,7.566992873E-1
3.145598875E0,1.562307171E0,-9.641093820E-1,6.079145461E-1
3.155568875E0,1.143983038E0,-1.016668249E0,4.052459586E-1
3.165539875E0,7.209292379E-1,-1.082447671E0,2.612161732E-1
3.175509875E0,4.045321597E-1,-1.092664511E0,2.464145315E-1
3.185479875E0,3.024454755E-1,-1.061888861E0,2.016593581E-1
3.195449875E0,7.500372621E-1,-1.161785032E0,3.846760386E-1
3.205420875E0,1.477727051E0,-1.296124812E0,7.925760484E-1
3.215390875E0,1.850100548E0,-1.351870412E0,1.025573559E0
3.225360875E0,1.932093714E0,-1.312011697E0,9.820866466E-1
3.235330875E0,1.756234172E0,-1.274595364E0,7.617746705E-1
3.245301875E0,1.365961763E0,-1.169908569E0,5.980999947E-1
3.255271875E0,9.805492674E-1,-9.552374017E-1,5.539581943E-1
3.265241875E0,7.040616287E-1,-8.394531763E-1,5.051900768E-1
3.275211875E0,5.855863684E-1,-7.654706955E-1,5.049602813E-1
3.285182875E0,6.177985333E-1,-7.513017225E-1,5.514123166E-1
3.295152875E0,6.954454641E-1,-6.696716684E-1,4.473219377E-1
3.305122875E0,6.698880154E-1,-6.138459617E-1,2.695507944E-1
3.315092875E0,6.023563291E-1,-5.687077957E-1,1.129471564E-1
3.325063875E0,5.513101365E-1,-5.328836596E-1,1.264472079E-1
3.335033875E0,4.577843606E-1,-5.668132979E-1,2.636766815E-1
3.345003875E0,3.506429046E-1,-5.852437216E-1,5.357113731E-1
3.354973875E0,1.224719784E-1,-6.114386630E-1,8.307595360E-1
3.364944875E0,-6.280085027E-2,-5.597293961E-1,1.046644000E0
3.374914875E0,-6.728566468E-2,-4.447380531E-1,9.272637373E-1
3.384884875E0,-6.387703031E-2,-3.991935056E-1,4.713253427E-1
3.394854875E0,-1.170953174E-1,-4.284997505E-1,2.070031285E-1
3.404825875E0,-9.762730524E-2,-4.329114747E-1,2.423115402E-1
3.414795875E0,-4.527776822E-2,-3.866705239E-1,4.107458496E-1
3.424765875E0,-1.299982220E-3,-3.230680203E-1,5.047187912E-1
3.434735875E0,8.638515607E-2,-1.788979018E-1,4.018054569E-1
3.444706875E0,2.260676828E-1,3.909565330E-2,2.177935803E-1
3.454676875E0,3.027996705E-1,2.037655252E-1,-1.606814861E-3
3.464646875E0,3.026033503E-1,3.683786792E-1,-1.696932149E-1
3.474616875E0,4.529725407E-1,5.680154854E-1,-3.345080978E-1
3.484587875E0,6.698624338E-1,6.595904839E-1,-5.441424733E-1
3.494557875E0,7.899611735E-1,6.186979812E-1,-8.274909425E-1
3.504527875E0,7.065721308E-1,3.934532940E-1,-4.439451706E-1
3.514497875E0,6.384212244E-1,1.239177024E-1,1.738564324E-1
3.524468875E0,4.224645469E-1,-1.118841326E-1,6.855912977E-1
3.534438875E0,2.246922715E-1,-2.449702692E-1,7.913797081E-1
3.544408875E0,9.864852145E-2,-2.303528148E-1,5.833579946E-1
3.554378875E0,2.564661875E-2,-2.547082222E-1,2.507514113E-1
3.564349875E0,-1.996297896E-2,-2.540135729E-1,-2.154114246E-2
3.574319875E0,-2.569105759E-2,-1.671584469E-1,-1.795048428E-1
3.584289875E0,-2.452205300E-2,-9.308416486E-2,-3.206846952E-1
3.594259875E0,-6.929622978E-2,-8.633647799E-2,-5.713372886E-1
3.604230875E0,-8.013258219E-2,-5.351722598E-2,-7.210131454E-1
3.614200875E0,-2.755924299E-2,1.919816315E-2,-7.673382962E-1
3.624170875E0,-5.217762887E-3,6.718041480E-2,-6.664767498E-1
3.634140875E0,-4.252679944E-3,5.498897016E-2,-4.856755793E-1
3.644110875E0,9.863668084E-3,1.620029569E-2,-3.129388887E-1
3.654081875E0,3.703597158E-2,-1.083547533E-2,-1.818554235E-1
3.664051875E0,8.147773415E-2,1.362752080E-2,-1.443010962E-1
3.674021875E0,9.157412142E-2,1.383597404E-1,-1.934241396E-1
3.683992875E0,1.040905251E-1,2.629270685E-1,-2.903534335E-1
3.693962875E0,2.078500977E-1,3.186849475E-1,-3.804642892E-1
3.703932875E0,3.881147861E-1,3.658018112E-1,-3.531472671E-1
3.713902875E0,5.500697958E-1,4.320121729E-1,-1.409284222E-1
3.723872875E0,6.022500560E-1,4.540895051E-1,1.914840335E-1
3.733843875E0,5.928145503E-1,4.291294956E-1,4.727503091E-1
3.743813875E0,6.434534843E-1,3.578320563E-1,5.545066631E-1
3.753783875E0,6.223659396E-1,2.879964209E-1,4.393416578E-1
3.763753875E0,5.993773189E-1,2.861755979E-1,9.420975387E-2
3.773724875E0,6.207233106E-1,3.578501827E-1,-4.193564594E-1
3.783694875E0,6.547029425E-1,4.009523481E-1,-8.815227234E-1
